Tax ID	Species	Strain	C12:0	C13:0	C14:0	3OH-C14:0	C16:1	C16:0	3OH-C16:0	C18:2	C18:1	C18:0	3OH-C18:1
29575	Haemophilus equigenitalis	Kentucky-188			0.74	6.51	0.89	35.0	0.58	0.79	45.0	6.03	2.98
29575	Haemophilus equigenitalis	EQ-51	0.55		1.74	3.95	1.96	30.2	<0.5	0.98	53.6	3.66	1.41
29575	Haemophilus equigenitalis	EQ-56	<0.5	<0.5	2.01	5.99	2.17	31.6	0.59	1.1	45.4	3.15	3.39
29575	Haemophilus equigenitalis	EQ-59			1.55	3.46	1.87	35.4	<0.5	0.81	47.6	5.22	1.95
29575	Haemophilus equigenitalis	EQ-64		<0.5	1.6	4.04	1.9	34.1	<0.5	0.89	51.4	3.58	1.75
29575	Haemophilus equigenitalis	EQ-70	<0.5	<0.5	1.4	3.81	1.85	34.8	<0.5	0.56	47.4	8.09	1.43
29575	Haemophilus equigenitalis	EQ-Chiba	0.64	<0.5	1.74	4.81	1.92	28.7	<0.5	0.84	52.4	5.32	1.75
