Ref Loc	Species	C10:0	C12:0	C14:0	C14:1	C14:1ω5	C15:0	C16:0	C16:1ω7	C16:1ω5	C16:2	C16:3ω4	C16:4ω1	C17:0	C18:0	C18:1	C18:1ω7	C18:2ω6	C18:3ω6	C18:3ω3	C18:4ω3	C20:0	C20:2ω6	C20:3ω6	C20:3ω3	C20:5ω3	C22:0	C22:1ω9	C22:6ω3	C23:0	C24:0	C24:1ω9
Table 1	Synechococcus elongatus	1.28	0.85	12.78	2.38	0.46	0.28	25.76	25.53	0.31	0.37	0.41	0.1	0.47	1.69	1.79	5.25	0.88		3.39	0.1	0.14	0.06	0.17	0.47	0.11	0.11	1.67		0.54	0.13	0.86
Table 1	Scenedesmus actus		0.0	0.27	0.04			29.52	0.76		0.52	1.96	0.45	2.33	17.24	0.59	7.99		18.5	3.29						0.84	0.53		2.11	0.1	0.41	0.82
