Ref Loc	Species	Temp	Notes	C14:0	C16:0	C16:1	C16:2	C16:3	C18:0	C18:1	C18:2	C18:3
Table 2	Chlorella vulgaris	29	2% CO2	3.0	24.5	0.8	5.8	1.3	1.8	5.1	39.8	17.8
Table 2	Chlorella vulgaris	29		3.2	23.8	0.8	2.4	7.4	1.0	1.0	22.2	38.1
