Tax ID	Species	Strain	Temp	I-C14:0	C14:0	I-C15:0	A-C15:0	I-C16:0	C16:1	C16:0	I-C17:0	A-C17:0	C18:1	C18:0
36740	Dermabacter hominis	S51	30	0.5	0.5	6.0	24.5	12.0	0.5	4.0	1.0	46.0	4.0	1.0
36740	Dermabacter hominis	S67	30	0.5	0.5	6.5	18.0	17.0		5.0	1.5	48.0	1.5	1.5
36740	Dermabacter hominis	S69; NCFB 2769	30	0.5	0.5	6.0	13.0	14.5		4.0	2.5	58.5	0.5	
36740	Dermabacter hominis	S79	30	1.5	0.5	7.0	34.5	13.5		2.5	1.0	39.0	0.5	
