Ref Loc	Species	Strain	Temp	Phase	C10:0	Br-C11:0	C11:0	Br-C12:0	C12:0	Br-C13:0	C13:0	C14:0	C14:1	C15:0	C15:1	C16:0	C16:1	C17:0	C17:1	C18:0	C18:1	C18:2
Table 6	Vibrio marinus	PS-207	25	Late Log	0.2	<0.1	0.2	<0.1	5.4		0.5	3.7	1.2	0.7	0.2	19.2	39.2	<0.1	<0.1	1.6	15.4	12.4
Table 6	Vibrio marinus	PS-207	15	Late Log	<0.1	<0.1	<0.1		4.1	<0.1	<0.1	3.4	1.8	0.2	<0.1	16.9	57.5	3	0.3	0.3	9.3	3.1
