Tax ID	Species	Temp	Medium	C10:0	I-C11:0	2OH-I-C11:0	3OH-I-C11:0	2OH-C12:0	3OH-C12:0	C14:0	I-C15:0	C15:0	C16:1	C16:0	C17:0	C18:1	C18:0	Cyc-C19:0	Unknown
293	Pseudomonas diminuta	35	Trypticase soy agar w/ 0.1% yeast extract						8	4		1.0	3	35	1.0	27	3	12.0	6
40324	Pseudomonas maltophilia	35	Trypticase soy agar w/ 0.1% yeast extract	2.0	6.0	5.0	6.0	1.0	4	14	33.0		13	7		2	2		5
