Tax ID	Species	Strain	Temp	2OH-C12:0	C14:0	2OH-C14:0	C16:1ω7c	C16:1ω5c	C16:0	2OH-C15:0	C17:1ω6c	2OH-C16:1	Other|C17:0&2OH-C16:1	2OH-C16:0	C18:1ω7c	C18:1ω5c	C18:0	Br-C19:1	Cyc-C19:0	Unknown
13688	Sphingomonas capsulata	ATCC 14666	22	2.0	0.7	47.8	0.9		1.7		0.7	1.0	3.9		32.5					9.0
48935	Sphingomonas aromaticivorans	F199	22		1.1	26.7	2.8	0.3	3.3	2.2	1.1	2.0	1.3	1.1	38.0	1.5	0.6	16.6	0.8	0.6
48935	Sphingomonas aromaticivorans	B0522	22	1.6	0.3	39.5	2.1	0.2	1.3	3.9	1.0	2.7	3.9	0.8	28.4	0.6	1.2	9.8	0.5	2.3
48935	Sphingomonas aromaticivorans	B0695	22		0.1	24.5	2.2	0.1	6.4	1.2	0.5	0.6	1.0	1.0	20.9	1.2	1.4	35.4	3.3	0.2
48936	Sphingomonas subterranea	B0478	22	0.4	0.7	36.7	2.3	0.2	2.3	5.0	2.2	1.3	3.2	1.6	35.8	1.5	1.4	4.3		1.0
48937	Sphingomonas stygia	B0712	22	0.8	2.5	38.8	3.1	1.3	2.3	3.0	1.6	1.8	7.8	1.0	31.3	3.0	0.5			1.2
109	Blastobacter	B0477	22	0.1		17.7	2.2	0.8	5.7	2.1	3.0	0.5	20.0	2.5	42.3	1.9	0.9			0.5
