Tax ID	Species	Strain	C14:0	I-C15:0	C16:1ω5c	C16:0	C18:1ω5c	C18:0	C20:0	24OH-C24:0	25OH-C26:0	27OH-C28:1	27OH-C28:0	29OH-C30:1	29OH-C30:0	31OH-C32:1
360055	Zavarzinella formosa	A10	1.5	2.3	12.2	5.4	21.2	15.8			1.0	9.0	8.4	18.7	3.0	1.5
114	Gemmata obscuriglobus	DSM 5831			17.6	2.7	2.0	59.1	1.7	16.9						
