Ref Loc	Species	Temp	C14:0	C16:0	C18:0	C16:1	C18:1	C16:2	C16:3	C16:4	C18:2	C18:3	C18:4
Table 3	Scenedesmus obliquus	25	1.5	21.8	0.4	6.0	17.9	4.0	0.7	0.4	21.7	3.7	0.2
Table 3	Neochloris oleoabundans	25	0.4	19.4	1.0	1.9	20.3	1.7	1.0	7.2	13.0	17.5	2.1
