Ref Loc	Species	Strain	Temp	Phase	I-C12:0	I-C13:0	I-C14:0	C14:0	C14:1	C15:0	I-C16:0	C16:0	C16:1	Br-C17:1	C17:0	C18:0	C18:1	Other
Table 2	Vibrio marinus	MP1	15	Late Exponential	1.1	0.7		14.4	3.7	0.72		19.6	32.1	1.5			22.8	0.98
Table 2	Anacystis nidulans		28	Early Stationary		1.58	1.71	2.97	4.05		2.16	30.74	33.35	0.36	1.17	0.36	3.56	17.99
