Ref Loc	Species	Strain	Temp	Medium	C14:0	C16:0	C18:0	C14:1	C16:1	C18:1	C16:2	C18:2	C18:3ω3,6,9c	C18:3ω6,9,12c
Table 5	Synechococcus	6605	30	BG11	6	20	2	1	2	3	7	43	4	
Table 5	Gloeocapsa alpicola	6910; 1051	30	BG11	1	29	1	<1	30	5	21	5	1	3.0
