Tax ID	Species	Strain	Temp	Medium	Phase	C14:0	C16:0	C14:1ω5t	C16:1ω7c	C16:1ω7t	C18:1ω9c	C18:2ω6,9c	C18:3ω3,6,9c	C22:6ω3	Cyc-C17:0
246794	Moritella	5710	-5	modified LB	Log	12.1	4.7	11.2	36.5	7.2	0.8	0.8	2.1	16.4	4.0
246794	Moritella	5710	-5	modified LB	Stationary	10.6	9.8	8.0	38.6	6.4	3.0	0.5	1.4	16.2	2.4
246794	Moritella	5710	0	modified LB	Log	13.3	5.7	9.3	32.5	9.1	0.5	1.3	2.7	15.1	4.9
246794	Moritella	5710	0	modified LB	Stationary	12.6	8.9	8.1	38.9	7.9	1.4	0.6	2.0	12.8	3.5
246794	Moritella	5710	5	modified LB	Log	14.1	8.0	9.0	33.3	7.3	2.9	0.8	2.5	12.8	4.0
246794	Moritella	5710	5	modified LB	Stationary	9.5	11.9	5.1	40.9	6.7	3.0	0.6	1.8	13.6	4.0
246794	Moritella	5710	10	modified LB	Log	16.1	7.1	11.0	33.7	8.3	0.4	0.8	1.6	11.7	3.5
246794	Moritella	5710	10	modified LB	Stationary	11.3	12.0	6.8	39.4	8.2	2.6	0.7	1.4	10.5	3.8
