Tax ID	Species	Strain	Temp	C12:0	C13:0	C14:0	C15:0	C16:0	C17:0	C18:0	C16:1ω7c	C17:1ω6c	C17:1ω8c	C18:1ω7c	C18:1ω9c	C18:4ω3	C20:4ω3	C20:5ω3	C22:6ω3	I-C13:0	I-C14:0	I-C15:0	A-C15:0	I-C16:0	I-C17:0
135626	Shewanella olleyana	ACEM 9; ACAM 644; LMG 21437	4	2.0	0.7	3.4	2.6	10.8	1.2	0.7	23.0	0.3	1.5	8.7	0.6	1.1	2.3	19.2	0.5	7.3	0.9	8.7	2.0	0.2	0.6
135626	Shewanella olleyana	ACEM 9; ACAM 644; LMG 21437	10	2.4	0.6	4.5	2.0	14.6	1.0	1.1	24.9	0.6	1.8	7.1	1.3	0.7	1.1	14.2	0.3	5.8	1.0	9.3	1.9	0.2	0.7
135626	Shewanella olleyana	ACEM 9; ACAM 644; LMG 21437	24	3.8	1.3	3.2	3.7	15.2	2.0	1.5	16.2	0.3	3.4	2.4	2.2	0.2	0.5	8.8	0.2	8.0	2.5	17.8	2.8	0.5	1.9
