Tax ID	Species	Strain	Temp	Notes	C6:1	C8:0	C8:1	C10:0	C11:0	C12:0	C12:3	C13:0	C14:0	C14:1	C14:2	C15:0	C15:1	C16:0	C16:1	C16:2	C16:3	C17:0	C17:1	C18:0	C18:1	C18:2	C18:3	C18:4	C19:1	C20:0	C20:2	C20:3	C22:1	C23:1	C22:3	C24:1	C25:0	C26:0
3039	Euglena gracilis	Z	26	Dark-grown						9.0		7.9	31.1	2.2	13.2	1.4		12.3	5.1	2.2				4.5	5.6	2.8				1.1	1.4							
3039	Euglena gracilis	Z	26	Light-grown	0.3	0.1	1.0	0.1	0.1	1.1	0.1	2.6	4.5			2.0	0.1	6.7	6.1	9.2	4.5	0.1	0.1	1.4	1.5	12.0	15.0	2.0	8.4		0.8	8.1	1.4	5.8	1.4	2.0	1.1	0.4
