Tax ID	Species	Strain	Temp	I-C10:0	I-C11:0	A-C11:0	I-C12:0	3OH-I-C11:0	I-C13:0	3OH-I-C12:0	I-C14:0	C14:1ω5c	C14:0	I-C15:1	Other|MIDI2|I-C15:1&3OH-C13:0	I-C15:0	A-C15:0	C15:1ω6c	C15:0	I-C16:1	I-C16:0	C16:1ω9c	Other|MIDI4|C16:1ω7c&2OH-I-C15:0	C16:0	I-C17:1ω9c	Br-C17:1	I-C17:0	A-C17:0	3OH-C16:0
213588	Thermomonas hydrothermalis	SGM-6	37	0.5	5.0	0.2	0.4	6.5	1.0	0.4	5.3	0.8	1.7	3.3	0.7	41.9	3.7	0.9	0.8	0.5	11.4	0.6	4.6	2.3		0.2	4.1	0.2	
213588	Thermomonas hydrothermalis	SGM-6	50		6.1			7.7			1.1		1.1	0.6		56.2	1.6		0.9		5.1		0.8	3.8	6.4		8.6	0.3	
213588	Thermomonas hydrothermalis	SGM-7	37	0.5	4.8	0.3	0.4	6.3	0.6	0.4	4.0	0.6	1.4	2.5	0.6	37.7	4.0	0.8	0.7	0.5	15.1	0.5	4.8	3.3	5.3	0.1	4.7	0.6	0.3
213588	Thermomonas hydrothermalis	SGM-7	50		5.6			6.0			0.9		1.0	0.5		55.8	1.8		0.9		5.4		0.9	4.8	7.0		9.5	0.3	
141949	Thermomonas haemolytica	A50-7-3;DSM 13605	37	0.2	7.0		0.1	9.2	0.6	0.1	5.0		0.3	2.6	0.5	62.9	0.4		0.1		5.3		0.2	0.3	3.9	0.1	1.5		
141949	Thermomonas haemolytica	A50-7-3;DSM 13605	50		6.1	0.2		9.0	0.3		6.5		1.6	1.6		50.5	4.7		5.0		7.1		0.2	3.4	1.1	0.9	2.0		
