Ref Loc	Species	Temp	Medium	C14:0	I-C15:0	A-C15:0	C15:0	C16:1ω9	C16:1ω7	C16:1ω13t	C16:0	I-C17:0	A-C17:0	C17:0	C18:0	C18:1ω9	C18:1ω7	C18:2ω6	C18:4ω3	C20:5ω3	C20:0	C22:6ω3
Table 6	Chroomonas fragarioides	18	f/2	4.8	0.3	0.1	0.5	2.3	2.8	0.7	26.5	0.1	0.1	0.3	1.5	15.6	4.7	17.6	16.2	4.7	0.1	2.3
Table 6	Rhodomonas baltica	18	f/2	5.5	0.3	0.2	0.6	2.1	4.1	0.5	30.1	0.2	0.3	0.2	1.4	17.1	4.1	16.9	13.5	1.3	0.1	1.3
