Ref Loc	Species	Strain	Temp	Medium	C11:0	C12:0	C13:0	C14:0	C16:0	C17:0	C16:1ω9c	C18:1ω7c	C18:1ω9c	I-C11:0	I-C13:0	I-C14:0	I-C15:0	I-C16:0	I-C17:0	3OH-C12:0	3OH-I-C13:0	3OH-I-C14:0	3OH-I-C15:0	Other|MIDI1|3OH-C13:0&I-C15:1	Other|MIDI2|i-C16:1&3OH-C14:0	Other|MIDI3|C16:1ω6c&2OH-I-C15:0
Table S1	Shewanella loihica	PV-4	22	LB agar	0.13	0.74	0.69	0.68	5.43	2.05	0.55	2.7	1.31	0.13	9.81	1.5	36.03	0.77	3.19	0.35	6.34	0.37	0.76	0.62	0.39	9.92
Table S1	Shewanella aquimarina	JCM 12193	22	LB agar	0.09	0.59	0.48	0.35	2.57	0.84	0.43	2.36	0.97	0.23	11.96	1.43	39.47	1.19	5.42	0.27	9.66	0.24	0.36	0.4	0.23	8.02
