Ref Loc	Species	Strain	C11:0	C12:0	C13:0	C16:0	C17:0	C18:0	C14:1ω5c	C14:1ω7c	C15:1ω6c	C15:1ω8c	C16:1ω7c	C16:1ω9c	C17:1ω8c	C18:1ω7c	C18:1ω9c	I-C13:0	I-C14:0	I-C15:0	A-C15:0	I-C17:0	A-C17:0	I-C15:1	A-C15:1
Table 2	Idiomarina abyssalis	KMM 227	<1	<1	<1	6.3	<1	1.8	<1	<1	<1	1.3	7.0	<1	7	6.7	1.4	1.0	<1	33.7	<1	11.9	<1	2.3	<1
Table 2	Idiomarina zobellii	KMM 231	<1	<1	<1	4.6	<1	0.8	<1	<1	<1	1.1	8.3	<1	2	5.9	0.9	1.1	<1	40.6	<1	12.5	<1	1.6	<1
