Tax ID	Species	Strain	Phase	C16:0	C15:1ω8c	I-C12:0	I-C18:1	3OH-I-C11:0	3OH-I-C17:0	Other|MIDI3|C16:1ω6c&2OH-I-C15:0	Other|MIDI7|Cyc-C19:0ω10c&C19ω6?
314344	Mariprofundus ferrooxydans	PV-1	Late log	14	1	2	5	27	13	26	6
314344	Mariprofundus ferrooxydans	PV-1	Late log	9	3	2	6	28	14	23	7
