Tax ID	Species	N	Temp	Medium	C12:0	C13:0	C14:1	C14:0	C15:0	C16:1	C16:0	C17:1	C17:0	C18:1	C18:0	I-C11:0	I-C13:0	I-C14:0	I-C15:0	I-C16:0	I-C17:1	I-C17:0	3OH-C10:0	3OH-C12:0	2OH-I-C11:0	3OH-I-C11:0	3OH-I-C13:0	Cyc-C17:0	Cyc-C19:0
293	Pseudomonas diminuta	9	37	Trypticase soy agar			3.0	4	<2	3	29		<2	22	<2									3.0				<2	29.0
41276	Pseudomonas vesicularis	9	37	Trypticase soy agar				6	5	6	26		4	34	10									4.0				5	
40324	Pseudomonas maltophila	9	37	Trypticase soy agar				5	<2	10	18		<2	<2	<2	5.0	2.0	2.0	30.0	<2	4.0	10.0		2.0	4.0	4.0	4.0	<2	
24	Pseudomonas putrefaciens	7	37	Trypticase soy agar	3.0	3.0		4	7	16	8	16.0	2	4	<2		11.0	4.0	22.0									<2	
80866	Pseudomonas acidovorans	9	37	Trypticase soy agar	4.0			5	2	21	28		<2	26	2								4.0					8	
285	Pseudomonas testosteroni	9	37	Trypticase soy agar	5.0			5	2	22	25		<2	25	<2								6.0					10	
