Tax ID	Species	Strain	Temp	Medium	C14:0	C15:0	C16:0	C17:0	C18:0	C20:0	C22:0	C24:0	C16:1ω7c	C18:1ω7c	C18:1ω9c	C16:2ω4	C16:2ω7	C16:3ω4	C16:4ω1	C16:4ω3	C18:2ω6,9c	C18:3ω3,6,9c	C18:3ω6,9,12c	C18:4ω3	C18:5ω3	C20:4ω3	C20:4ω6	C20:5ω3	C22:5ω3	C22:5ω6	C22:6ω3	I-C15:0	A-C15:0	I-C16:0	Unknown
54902	Scrippsiella	CS-295/c	18.5	GSe	3.2		9.0	<0.1	0.5				0.7	0.3	1.2						1.5	0.2	5.2	10.6	43.1			1.8	0.1		18.8	0.3	0.2	0.4	3.0
2951	Symbiodinium microadriaticum	Freud CS-155	18.5	GSe	6.4	0.3	16.3	<0.1	0.8		<0.1	0.8	19.4	0.6	0.8	1.7	0.5	1.7	1.9		0.9	0.2	1.1	11.5	7.0	0.5	1.1	13.5	0.5		9.9	0.5		0.2	2.2
2955	Gymnodinium	CS-380/1	18.5	GSe	2.0	0.9	24.8	<0.1	1.9		<0.1	0.2	1.5	0.9	1.5						5.2	0.4		2.5	20.8			12.6	0.1	0.1	22.0	0.5			2.2
143672	Gymnodinium sanguineum	CS-35	18.5	GSe	6.5		24.8	<0.1	1.9	0.3		0.2	2.6	0.2	11.8						0.7	0.3	0.1	3.6	6.4		0.5	14.1			24.2	0.2			1.5
72553	Fragilidium	CS-382	18.5	GSe	4.8		15.6	<0.1	0.8	0.2	0.3	0.3	0.6	0.5	0.9	0.4				4.8	0.3	1.8		8.7	7.2	0.6		20.9	0.8	0.3	26.3	1.2		0.8	2.0
