Tax ID	Species	Strain	Temp	Phase	C12:0	C14:0	C15:0	C16:1ω7c	C16:0	Cyc-C17:0	C17:0	C18:1ω7c	C18:0	2OH-C16:0
244365	Methylohalobius crimeensis	10Ki	30	Exponential	0.22	2.45	0.48	19.6	23.02	0.67	0.29	51.87	0.47	0.93
244365	Methylohalobius crimeensis	4Kr	30	Exponential		1.35	0.31	14.2	22.8		0.26	60.53	0.55	
