Tax ID	Species	Strain	Phase	Medium	C14:0	C15:0	I-C16:0	C16:0	C16:1ω5t	C16:1ω9c	C16:1ω7c	C17:0	Cyc-C17:0	C18:0	C18:1ω11t	C18:1ω9t	C18:1ω9c	C18:1ω7c	C18:2ω7c,12c	C18:2ω6c,12c	C20:0
466153	Singulisphaera acidiphila	MOB10	Late Exponential	M31	1.06	0.23		31.12			1.65	0.13	0.43	3.51	0.12		46.73	0.79		13.79	0.11
466153	Singulisphaera acidiphila	MPL1015	Late Exponential	M31	1.07	0.75	0.15	34.12		0.13	1.66	0.41	0.86	3.77	0.14		40.84	0.81		15.19	0.29
466153	Singulisphaera acidiphila	PO2	Late Exponential	M31	1.5	0.26	0.13	36.59	0.13		1.41	0.17	0.35	2.56			30.58			25.58	0.22
466153	Singulisphaera acidiphila	BG32	Late Exponential	M31	0.73	0.61	0.14	23.89			1.4	0.26	0.89	3.39		0.58	23.48	0.51	21.72	21.89	0.15
