Tax ID	Species	Temp	Medium	C14:0	C15:0	I-C15:0	A-C15:0	C16:0	C16:1ω13t	C16:1ω9	C16:1ω7	C16:1ω5	C16:4ω3	C16:4ω1	C17:0	I-C17:0	A-C17:0	C18:0	C18:1ω9	C18:1ω7	C18:2ω6	C18:3ω6	C18:3ω3	C18:4ω3	C20:0	C20:4ω6	C20:5ω3	C22:0	C22:6ω3	C24:0
35130	Asterionella glacialis	18	f/2	29.2	0.9		0.3	20.8	2.6		28.7		2.4	2.8				2.3	2.3	1.9	1.7		1.0				3.1			
426623	Chaetoceros affinis	18	f/2	19.0	1.4	0.4	0.4	26.0	2.5		33.9			1.5	0.2			3.2	2.8	5.9	1.3		0.8				0.6		0.1	0.1
265526	Nitzschia closterium	18	f/2	8.5	1.3	0.1	0.1	33.2	0.9	0.6	25.5	1.8	0.5	0.8	0.4	0.4	0.2	5.1	4.0	2.8	2.7	0.7	1.6	1.0	0.8	1.4	2.6	1.1	1.9	0.1
2850	Phaeodactylum tricornutum	18	f/2	8.8	0.7	0.1	0.1	22.3	1.8	0.2	32.7		2.4	4.2	0.2	0.1	<0.1	1.7	1.5	1.6	4.1	0.2	2.8	0.2	0.1		12.5	0.2	0.8	1.8
	Thalassiosira	18	f/2	21.1	2.8	0.6	0.8	34.9	1.2	2.9	19.0		0.3	2.8	0.4	0.7	<0.1	2.1	3.4	0.3	1.7		1.2	1.9			1.7			0.1
67004	Thalassiosira weissflogii	18	f/2	24.8	2.7	0.3	0.2	27.5	2.2	0.3	24.9			7.1	0.2	0.2	0.1	1.4	1.3	1.9		1.0		0.3			3.8		0.1	
