Tax ID	Species	Strain	C10:0	C12:0	C13:0	C14:0	C15:0	C16:0	C18:0	C19:0	C20:0	C14:1ω9c	C16:1ω9c	C16:1ω11c	C18:1ω9c	C18:2ω9,12c	I-C12:0	A-C13:0	I-C14:0	I-C15:0	A-C15:0	I-C16:0	C11:0-DMA	C14:0-DMA	C16:0-DMA	C17:0-DMA	C18:0-DMA	C18:1ω9c-DMA	C18:1ω11-DMA	C16:0-ALDE	C18:0-ALDE	Unknown
1297617	Intestinimonas butyriciproducens	SRB-521-5-I	0.2	4.8	0.2	33.1		1.9	1.8	1.4	0.3	0.9	0.9		2.8	0.3			0.2	0.2	0.1		1.9	4.0	9.1	0.2	23.0	1.5	0.4	1.7	7.8	1.4
292800	Flavonifractor plautii	DSM 6740		0.2		28.3	0.5	12.2	0.9	0.7		0.2	0.2	0.2	0.9				0.1	0.8	0.1		0.2	9.1	27.9		8.1	0.4		5.2	2.7	2.2
106588	Pseudoflavonifractor capillosus	CCUG 15402A	0.2	2.8	0.3	33.3	0.4	7.4	0.3				0.2		0.5		0.2	0.1	2.5		0.1	0.3	0.2	3.0	38.2	0.1	0.6	0.2		7.4	0.3	1.4
