Tax ID	Species	Strain	I-C15:0	C15:0	C16:1ω7c	C16:1ω7t	C16:1ω5c	C16:0	I-C17:1ω7c	I-C17:0	A-C17:0	C17:1ω8c	C17:1ω7c	C17:1ω6c	C17:0	C18:1ω7c	C18:1ω5c	C18:0
133552	Methylocapsa acidiphila	B2; DSM 13967; NCIMB 13765	0.1		4.7	0.0	0.1	7.3		0.6			1.0		0.1	78.3		7.6
81943	Methylocella palustris	K	0.2	0.1	6.8	5.8	0.1	5.9	0.1		0.3	0.3		0.1	0.1	78.6	0.1	0.9
