Tax ID	Species	Strain	Temp	Notes	C14:0	C16:0	C16:1ω7c	C16:1ω6c	C16:1ω5c	C16:1ω7t	9,10Cyc-C17:0	10,11Cyc-C17:0	11,12Cyc-C17:0
414	Methylococcus capsulatus	Bath	37	O2 Conc @ 7.9%	5.5	40.9	31.2	10.4	8.3	0.1	1.7	0.6	
414	Methylococcus capsulatus	Bath	37	O2 Conc @ 0.2%	7.0	39.5	18.4	5.1	4.7	0.1	10.1	13.4	0.3
