Ref Loc	Species	Strain	Medium	Temp	I-C13:0	C14:0	I-C15:0	A-C15:0	C15:0	C16:1ω7	C16:0	3OH-I-C15:0	C17:0	3OH-C16:0	C18:2	C18:1ω9	C18:1	C18:0	3OH-I-C17:0
Table 1	Capnocytophaga ochracea	C4295	Heart infusion agar	35		<2	77	<2	<2	<2	4	5	<2	2	3	2	<2	2	5
Table 1	Capnocytophaga gingivalis	D6182	Heart infusion agar	35	<2	<2	76	<2	<2	<2	5	3	<2	2	4	3	<2	2	5
Table 1	Capnocytophaga ochracea	25	Heart infusion agar	35		<2	61	<2	<2	<2	12	3	<2	2	10	6	<2	4	2
Table 1	Capnocytophaga gingivalis	27	Heart infusion agar	35	3	<2	75	<2	<2	<2	3	2	<2	4	3	2	<2	<2	8
Table 1	Capnocytophaga sputigena	4	Heart infusion agar	35	<2	<2	78	<2	<2	<2	4	3	<2	4	2	<2	<2	2	7
