Tax ID	Species	Strain	I-C14:0	C14:0	OH-C12:1	OH-C12:0	OH-C14:0	C14:0-ALDE	I-C15:1	I-C15:0	A-C15:0	C15:1	C15:0	C15:0-ALDE	C16:1ω7	C16:1ω5	C16:0	I-C16:0-ALDE	C16:1ω7-ALDE	C16:1ω5-ALDE	C16:0-ALDE	I-C17:1	C17:1ω8	C17:1ω6	C17:0	I-C17:0-ALDE	C17:1-ALDE	C17:0-ALDE	C18:1ω9	C18:1ω7	C18:0	C18:1ω9-ALDE	C18:1ω7-ALDE	C18:0-ALDE	C20:0	Unknown
52004	Natroniella acetigena	Z7937	0.3	22.1	0.4	2.4		0.3					0.4		24.1	0.6	21.1		17.5		3.3								2.5	0.6	4.5	0.6				
89959	Natronoincola histidinovorans	Z7939	0.4	9.1					0.3	11.4	1.4		0.7	0.2	8.6	0.5	21.2	0.4	2.9		19.9	1.7			0.1	0.2	0.7		1.9	0.6	5.5	0.9	0.4	1.0	0.2	1.9
89959	Natronoincola histidinovorans	Z7940; DSM 11416		9.3			4.7			0.2			0.5		20.9	1.1	26.6		3.0		24.3								1.0	0.3	7.5	0.3		0.4		
69895	Tindallia magadii	Z7934		1.8								1.5	2.3	1.7	33.4		4.8		0.7	0.7	25.5		2.0	3.7	0.4		0.4	1.9	0.4	0.7	0.3			0.6		
