Tax ID	Species	Strain	Temp	Medium	C14:0	C16:0	C18:0	C14:1	C16:1	C18:1	C18:2	C18:3ω3,6,9c	C18:3ω6,9,12c
180281	Anacystis marina	7001	30	BG11	7	14	3	<1	16	16	17		
32049	Agmenellum quadruplicatum	7002; PR-6	30	BG11	<1	38	2		13	18	17	6	
374981	Coccochloris elabens	7003; 17-A	30	BG11	1	29	2		11	18	18	10	
	Synechococcus	6801	30	BG11		41	1		2	9	21	3	16
102126	Synechococcus	6903	30	BG11	18	11	1	1	8	20	26	7	
47918	Synechococcus	6901	30	BG11	22	12	1	1	6	12	36	8	
