Tax ID	Species	C14:0	C15:0	C16:0	C17:0	C18:0	C20:0	C22:0	C23:0	C24:0	C25:0	C26:0	C28:0	C30:0	C14:1ω5c	C16:1ω7t	C18:1ω7c	C18:1ω9c	C20:1ω9c	C22:1ω9c	C18:4	I-C15:0	A-C15:0	I-C16:0	A-C17:0	I-C18:0
	"Thioploca 1"	0.63	0.27	17.3	0.18	0.91	0.06	0.05	0.02	0.07	0.02	0.05	0.03	0.03	0.02	42.5	36.0	0.05	0.1	0.05	0.05	0.53	0.37	0.05	0.16	0.05
	"Thioploca 2"	0.64	0.2	18.0	0.17	0.54	0.04	0.02		0.05		0.05	0.02		0.04	40.3	37.8	0.3	0.1		0.07	0.78	0.61	0.11	0.15	0.04
